monster_unique_id,monster_parent,monster_name,monster_origin,monster_type,monster_alignment,monster_ac,monster_hp,monster_speed,monster_str,monster_dex,monster_con,monster_int,monster_wis,monster_cha,monster_saving_throws,monster_damage_vulnerabilities,monster_damage_resistances,monster_damage_immunities,monster_condition_immunities,monster_senses,monster_languages,monster_skills,monster_challenge_rating,monster_unique_ability_paragraph_1,monster_unique_ability_paragraph_2,monster_unique_ability_paragraph_3,monster_unique_ability_paragraph_4,monster_unique_ability_paragraph_5,monster_unique_ability_paragraph_6,monster_unique_ability_paragraph_7,monster_action_paragraph_1,monster_action_paragraph_2,monster_action_paragraph_3,monster_action_paragraph_4,monster_action_paragraph_5,monster_action_paragraph_6,monster_action_paragraph_7,monster_legendary_action_paragraph_1,monster_legendary_action_paragraph_2,monster_legendary_action_paragraph_3,monster_legendary_action_paragraph_4,monster_legendary_action_paragraph_5,@image1,@image2
dndgpt_mon_0012,,Azer,srd 5.1,Medium elemental,lawful neutral,"17 (natural armor, shield)",39 (6d8 + 12),30 ft.,17 (+3),12 (+1),15 (+2),12 (+1),13 (+1),10 (+0),Con +4,,,"fire, poison",poisoned,passive Perception 11,Ignan,,2 (450 XP),Heated Body. A creature that touches the azer or hits it with a melee attack while within 5 feet of it takes 5 (1d10) fire damage.,"Heated Weapons. When the azer hits with a metal melee weapon, it deals an extra 3 (1d6) fire damage (included in the attack).",Illumination. The azer sheds bright light in a 10-foot radius and dim light for an additional 10 feet.,,,,,"Warhammer. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage, or 8 (1d10 + 3) bludgeoning damage if used with two hands to make a melee attack, plus 3 (1d6) fire damage.",,,,,,,,,,,,,
dndgpt_mon_0013,,Basilisk,srd 5.1,"Medium monstrosity, unaligned",,15 (natural armor),52 (8d8 + 16),20 ft.,16 (+3),8 (-1),15 (+2),2 (-4),8 (-1),7 (-2),CON +4,,,,poisoned,"darkvision 60 ft., passive Perception 9",-,,3 (700 XP),"Petrifying Gaze. If a creature starts its turn within 30 feet of the basilisk and the two of them can see each other, the basilisk can force the creature to make a DC 12 Constitution saving throw if the basilisk isn't incapacitated. On a failed save, the creature magically begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified until freed by the greater restoration spell or other magic.","A creature that isn't surprised can avert its eyes to avoid the saving throw at the start of its turn. If it does so, it can't see the basilisk until the start of its next turn, when it can avert its eyes again. If it looks at the basilisk in the meantime, it must immediately make the save.","If the basilisk sees its reflection within 30 feet of it in bright light, it mistakes itself for a rival and targets itself with its gaze.",,,,,"Bite. Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.",,,,,,,,,,,,,
dndgpt_mon_0014,,Behir,srd 5.1,Huge monstrosity,neutral evil,17 (natural armor),168 (16d12 + 64),"50 ft., climb 40 ft.",23 (+6),16 (+3),18 (+4),7 (-2),14 (+2),12 (+1),"DEX +7, CON +9",,,lightning,,"darkvision 90 ft., passive Perception 16",Draconic,"Perception +6, Stealth +7","11 (7,200 XP)",Multiattack. The behir makes two attacks: one with its bite and one to constrict.,"Lightning Breath (Recharge 5-6). The behir exhales a line of lightning that is 20 feet long and 5 feet wide. Each creature in that line must make a DC 16 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.","Swallow. The behir makes one bite attack against a Medium or smaller target it is grappling. If the attack hits, the target is also swallowed, and the grapple ends. While swallowed, the target is blinded and restrained, it has total cover against attacks and other effects outside the behir, and it takes 21 (6d6) acid damage at the start of each of the behir's turns. A behir can have only one creature swallowed at a time. If the behir takes 30 damage or more on a single turn from the swallowed creature, the behir must succeed on a DC 14 Constitution saving throw at the end of that turn or regurgitate the creature, which falls prone in a space within 10 feet of the behir. If the behir dies, a swallowed creature is no longer restrained by it and can escape from the corpse by using 15 feet of movement, exiting prone.",,,,,"Bite. Melee Weapon Attack: +10 to hit, reach 10 ft., one target. Hit: 22 (3d10 + 6) piercing damage.","Constrict. Melee Weapon Attack: +10 to hit, reach 5 ft., one Large or smaller creature. Hit: 17 (2d10 + 6) bludgeoning damage plus 17 (2d10 + 6) slashing damage. The target is grappled (escape DC 16) if the behir isn't already constricting a creature, and the target is restrained until this grapple ends.",,,,,,,,,,,,
dndgpt_mon_0015,,Bugbear,srd 5.1,"Medium humanoid (goblinoid), chaotic evil",chaotic evil,"16 (hide armor, shield)",27 (5d8 + 5),30 ft.,15 (+2),14 (+2),13 (+1),8 (-1),11 (+0),9 (-1),"STR +4, DEX +4, CON +3",,,,,"darkvision 60 ft., passive Perception 10","Common, Goblin","Stealth +6, Survival +2",1 (200 XP),Brute. A melee weapon deals one extra die of its damage when the bugbear hits with it (included in the attack).,"Surprise Attack. If the bugbear surprises a creature and hits it with an attack during the first round of combat, the target takes an extra 7 (2d6) damage from the attack.",,,,,,"Morningstar. Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage.","Javelin. Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.",,,,,,,,,,,,
dndgpt_mon_0016,,Bulette,srd 5.1,"Large monstrosity, unaligned",unaligned,17 (natural armor),94 (9d10 + 45),"40 ft., burrow 40 ft.",19 (+4),11 (+0),21 (+5),2 (-4),10 (+0),5 (-3),CON +8,,,,,"darkvision 60 ft., tremorsense 60 ft., passive Perception 16",-,Perception +6,"5 (1,800 XP)","Standing Leap: The bulette's long jump is up to 30 feet and its high jump is up to 15 feet, with or without a running start.",,,,,,,"Bite: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 30 (4d12 + 4) piercing damage.","Deadly Leap: If the bulette jumps at least 15 feet as part of its movement, it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save, the creature takes only half the damage, isn't knocked prone, and is pushed 5 feet out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range, the creature instead falls prone in the bulette's space.",,,,,,,,,,,,
dndgpt_mon_0017,,Centaur,srd 5.1,Large monstrosity,neutral good,12,45 (6d10 + 12),50 ft.,18 (+4),14 (+2),14 (+2),9 (-1),13 (+1),11 (+0),,,,,,passive Perception 13,"Elvish, Sylvan","Athletics +6, Perception +3, Survival +3",Challenge 2 (450 XP),"Charge. If the centaur moves at least 30 feet straight toward a target and then hits it with a pike attack on the same turn, the target takes an extra 10 (3d6) piercing damage.",,,,,,,Multiattack. The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.,"Pike. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage.","Hooves. Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.","Longbow. Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,,,,,,,,,
dndgpt_mon_0018,,Chimera,srd 5.1,Large monstrosity,chaotic evil,14 (natural armor),114 (12d10 + 48),"30 ft., fly 60 ft.",19 (+4),11 (+0),19 (+4),3 (-4),14 (+2),10 (+0),,,,,,"darkvision 60 ft., passive Perception 18",understands Draconic but can't speak,Perception +8,"Challenge 6 (2,300 XP)",,,,,,,,"Multiattack. The chimera makes three attacks: one with its bite, one with its horns, and one with its claws. When its fire breath is available, it can use the breath in place of its bite or horns.","Bite. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) piercing damage.","Horns. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 10 (1d12 + 4) bludgeoning damage.","Claws. Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.","Fire Breath (Recharge 5-6). The dragon head exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw, taking 31 (7d8) fire damage on a failed save, or half as much damage on a successful one.",,,,,,,,,
dndgpt_mon_0019,,Chuul,srd 5.1,Large aberration,chaotic evil,16 (natural armor),93 (11d10 + 33),"30 ft., swim 30 ft.",19 (+4),10 (+0),16 (+3),5 (-3),11 (+0),5 (-3),CON +6,,,poison,poisoned,"darkvision 60 ft., passive Perception 14",understands Deep Speech but can't speak,Perception +4,"4 (1,100 XP)",Amphibious. The chuul can breathe air and water.,Sense Magic. The chuul senses magic within 120 feet of it at will. This trait otherwise works like the detect magic spell but isn't itself magical.,,,,,,"Multiattack. The chuul makes two pincer attacks. If the chuul is grappling a creature, the chuul can also use its tentacles once.","Pincer. Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.","Tentacles. One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends, the target is paralyzed. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,,,,,,,,
dndgpt_mon_0020,,Cloaker,srd 5.1,Large aberration,chaotic neutral,14 (natural armor),78 (12d10 + 12),"10 ft., fly 40 ft.",17 (+3),15 (+2),12 (+1),13 (+1),12 (+1),14 (+2),"DEX +5, WIS +4",,,,,"darkvision 60 ft., passive Perception 11","Deep Speech, Undercommon",Stealth +5,"8 (3,900 XP)","Damage Transfer. While attached to a creature, the cloaker takes only half the damage dealt to it (rounded down), and that creature takes the other half.","False Appearance. While the cloaker remains motionless without its underside exposed, it is indistinguishable from a dark leather cloak.","Light Sensitivity. While in bright light, the cloaker has disadvantage on attack rolls and Wisdom (Perception) checks that rely on sight.",,,,,Multiattack. The cloaker makes two attacks: one with its bite and one with its tail.,"Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 10 (2d6 + 3) piercing damage, and if the target is Large or smaller, the cloaker attaches to it. If the cloaker has advantage against the target, the cloaker attaches to the target's head, and the target is blinded and unable to breathe while the cloaker is attached. While attached, the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature, including the target, can take its action to detach the cloaker by succeeding on a DC 16 Strength check.","Tail. Melee Weapon Attack: +6 to hit, reach 10 ft., one creature. Hit: 7 (1d8 + 3) slashing damage.","Moan. Each creature within 60 feet of the cloaker that can hear its moan and that isn't an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker's next turn. If a creature's saving throw is successful, the creature is immune to the cloaker's moan for the next 24 hours.","Phantasms (Recharges after a Short or Long Rest). The cloaker magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions, shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light, the duplicates disappear.",,,,,,,,,
dndgpt_mon_0021,,Cockatrice,srd 5.1,"Small monstrosity, unaligned",,11,27 (6d6 + 6),"20 ft., fly 40 ft.",6 (-2),12 (+1),12 (+1),2 (-4),13 (+1),5 (-3),,,,,,"darkvision 60 ft., passive Perception 11",-,,1/2 (100 XP),,,,,,,,"Bite. Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 3 (1d4 + 1) piercing damage, and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save, the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success, the effect ends. On a failure, the creature is petrified for 24 hours.",,,,,,,,,,,,,
dndgpt_mon_0022,,Couatl,srd 5.1,"Medium celestial, lawful good",lawful good,19 (natural armor),97 (13d8 + 39),"30 ft., fly 90 ft.",16 (+3),20 (+5),17 (+3),18 (+4),20 (+5),18 (+4),"Con +5, Wis +7, Cha +6",,radiant,"psychic; bludgeoning, piercing, and slashing from nonmagical attacks",,"truesight 120 ft., passive Perception 15","all, telepathy 120 ft.",,"4 (1,100 XP)","Innate Spellcasting. The couatl's spellcasting ability is Charisma (spell save DC 14). It can innately cast the following spells, requiring only verbal components: At will: detect evil and good, detect magic, detect thoughts 3/day each: bless, create food and water, cure wounds, lesser restoration, protection from poison, sanctuary, shield 1/day each: dream, greater restoration, scrying",Magic Weapons. The couatl's weapon attacks are magical.,"Shielded Mind. The couatl is immune to scrying and to any effect that would sense its emotions, read its thoughts, or detect its location.",,,,,"Bite. Melee Weapon Attack: +8 to hit, reach 5 ft., one creature. Hit: 8 (1d6 + 5) piercing damage, and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends, the target is unconscious. Another creature can use an action to shake the target awake.","Constrict. Melee Weapon Attack: +6 to hit, reach 10 ft., one Medium or smaller creature. Hit: 10 (2d6 + 3) bludgeoning damage, and the target is grappled (escape DC 15). Until this grapple ends, the target is restrained, and the couatl can't constrict another target.","Change Shape. The couatl magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl's choice). In a new form, the couatl retains its game statistics and ability to speak, but its AC, movement modes, Strength, Dexterity, and other actions are replaced by those of the new form, and it gains any statistics and capabilities (except class features, legendary actions, and lair actions) that the new form has but that it lacks. If the new form has a bite attack, the couatl can use its bite in that form.",,,,,,,,,,,
